date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2017-06-20,2450.66,2450.66,2436.60,2437.03,0,-16.43,-0.67%,2437.03,N/A,0
2017-06-19,2442.55,2453.82,2441.79,2453.46,0,20.31,0.83%,2453.46,N/A,0
2017-06-16,2431.24,2433.15,2422.88,2433.15,0,0.69,0.03%,2433.15,N/A,0
2017-06-15,2424.14,2433.95,2418.53,2432.46,0,-5.46,-0.22%,2432.46,N/A,0
2017-06-14,2443.75,2443.75,2428.34,2437.92,0,-2.43,-0.10%,2437.92,N/A,0
2017-06-13,2434.15,2441.49,2431.28,2440.35,0,10.96,0.45%,2440.35,N/A,0
2017-06-12,2425.88,2430.38,2419.97,2429.39,0,-2.38,-0.10%,2429.39,N/A,0
2017-06-09,2436.39,2446.20,2415.70,2431.77,0,-2.02,-0.08%,2431.77,N/A,0
2017-06-08,2434.27,2439.27,2427.94,2433.79,0,0.65,0.03%,2433.79,N/A,0
2017-06-07,2432.03,2435.28,2424.75,2433.14,0,3.81,0.16%,2433.14,N/A,0
2017-06-06,2431.92,2436.21,2428.12,2429.33,0,-6.77,-0.28%,2429.33,N/A,0
2017-06-05,2437.83,2439.55,2434.32,2436.10,0,-2.97,-0.12%,2436.10,N/A,0
2017-06-02,2431.28,2440.23,2427.71,2439.07,0,9.01,0.37%,2439.07,N/A,0
2017-06-01,2415.65,2430.06,2413.54,2430.06,0,18.26,0.76%,2430.06,N/A,0
2017-05-31,2415.63,2415.99,2403.59,2411.80,0,-1.11,-0.05%,2411.80,N/A,0
2017-05-30,2411.67,2415.26,2409.43,2412.91,0,-2.91,-0.12%,2412.91,N/A,0
2017-05-26,2414.50,2416.68,2412.20,2415.82,0,0.75,0.03%,2415.82,N/A,0
2017-05-25,2409.54,2418.71,2408.01,2415.07,0,10.68,0.44%,2415.07,N/A,0
2017-05-24,2401.41,2405.58,2397.99,2404.39,0,5.97,0.25%,2404.39,N/A,0
2017-05-23,2397.04,2400.85,2393.88,2398.42,0,4.40,0.18%,2398.42,N/A,0
2017-05-22,2387.21,2395.46,2386.92,2394.02,0,12.29,0.52%,2394.02,N/A,0
2017-05-19,2371.37,2389.06,2370.43,2381.73,0,16.01,0.68%,2381.73,N/A,0
2017-05-18,2354.69,2375.74,2352.72,2365.72,0,8.69,0.37%,2365.72,N/A,0
2017-05-17,2382.95,2384.87,2356.21,2357.03,0,-43.64,-1.82%,2357.03,N/A,0
2017-05-16,2404.55,2405.77,2396.05,2400.67,0,-1.65,-0.07%,2400.67,N/A,0
2017-05-15,2393.98,2404.05,2393.94,2402.32,0,11.42,0.48%,2402.32,N/A,0
2017-05-12,2392.44,2392.44,2387.19,2390.90,0,-3.54,-0.15%,2390.90,N/A,0
2017-05-11,2394.84,2395.72,2381.74,2394.44,0,-5.19,-0.22%,2394.44,N/A,0
2017-05-10,2396.79,2399.74,2392.79,2399.63,0,2.71,0.11%,2399.63,N/A,0
2017-05-09,2401.58,2403.87,2392.44,2396.92,0,-2.46,-0.10%,2396.92,N/A,0
2017-05-08,2399.94,2401.36,2393.92,2399.38,0,0.09,0.00%,2399.38,N/A,0
2017-05-05,2392.37,2399.29,2389.38,2399.29,0,9.77,0.41%,2399.29,N/A,0
2017-05-04,2389.79,2391.43,2380.35,2389.52,0,1.39,0.06%,2389.52,N/A,0
2017-05-03,2386.50,2389.82,2379.75,2388.13,0,-3.04,-0.13%,2388.13,N/A,0
2017-05-02,2391.05,2392.93,2385.82,2391.17,0,2.84,0.12%,2391.17,N/A,0
2017-05-01,2388.50,2394.49,2384.83,2388.33,0,4.13,0.17%,2388.33,N/A,0
2017-04-28,2393.68,2393.68,2382.36,2384.20,0,-4.57,-0.19%,2384.20,N/A,0
2017-04-27,2389.70,2392.10,2382.68,2388.77,0,1.32,0.06%,2388.77,N/A,0
2017-04-26,2388.98,2398.16,2386.76,2387.45,0,-1.16,-0.05%,2387.45,N/A,0
2017-04-25,2381.51,2392.48,2381.15,2388.61,0,14.46,0.61%,2388.61,N/A,0
2017-04-24,2370.33,2376.98,2369.19,2374.15,0,25.46,1.08%,2374.15,N/A,0
2017-04-21,2354.74,2356.18,2344.51,2348.69,0,-7.15,-0.30%,2348.69,N/A,0
2017-04-20,2342.69,2361.37,2340.91,2355.84,0,17.67,0.76%,2355.84,N/A,0
2017-04-19,2346.79,2352.63,2335.05,2338.17,0,-4.02,-0.17%,2338.17,N/A,0
2017-04-18,2342.53,2348.35,2334.54,2342.19,0,-6.82,-0.29%,2342.19,N/A,0
2017-04-17,2332.62,2349.14,2332.51,2349.01,0,20.06,0.86%,2349.01,N/A,0
2017-04-13,2341.98,2348.26,2328.95,2328.95,0,-15.98,-0.68%,2328.95,N/A,0
2017-04-12,2352.15,2352.72,2341.18,2344.93,0,-8.85,-0.38%,2344.93,N/A,0
2017-04-11,2353.92,2355.22,2337.25,2353.78,0,-3.38,-0.14%,2353.78,N/A,0
2017-04-10,2357.16,2366.37,2351.50,2357.16,0,1.62,0.07%,2357.16,N/A,0
